カテゴリ,タスク内容,完了
note準備,note有料記事の価格と返金保証の明記を確認する,☐
note準備,有料記事の魅力が冒頭で伝わっているかチェック,☐
note準備,有料エリア前で“続きを見たくなる”導線を設置,☐
note準備,アイキャッチ画像（note用・X用）を用意する,☐
X準備,プロフィール（肩書き＋実績＋誘導）を整える,☐
X準備,固定ツイートに保存性の高い投稿＋noteリンクを設置,☐
X準備,アイコンとヘッダーで信頼性と方向性を明示,☐
投稿・拡散,note紹介投稿（画像＋リンク＋ベネフィット）を行う,☐
投稿・拡散,共感投稿で「忙しさ」や「判断疲れ」に触れる（2回）,☐
投稿・拡散,実例投稿で「使って変わった」体験を提示する（1回）,☐
投稿・拡散,保存投稿で「プロンプト事例」を紹介する（1回）,☐
投稿・拡散,note紹介投稿を引用リプライで再掲する（1回）,☐
投稿・拡散,関連界隈にリプライやいいねで初期流入を得る（毎日5〜10人）,☐
信頼構築と最終アクション,反応した人に即レス＋補足投稿を行う,☐
信頼構築と最終アクション,noteの閲覧数と購入数を毎日チェックする,☐
信頼構築と最終アクション,投稿の中でnote購入者への感謝を1回発信,☐
信頼構築と最終アクション,買った人向けにフォロー施策 or 質問受付投稿,☐
